事件代碼,事件名稱,年度,開始時間,結束時間,已下載時段,最後更新時間,狀態
T1307,蘇力颱風,2013,2013/07/12 15:50,2013/07/13 15:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:10,已下載
R00146,2013_0519豪雨,2013,2013/05/20 15:10,2013/05/21 15:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:12,已下載
T1217,杰拉華颱風,2012,2012/09/27 22:05,2012/09/28 22:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:14,已下載
R00133,2012_0914豪雨,2012,2012/09/14 14:00,2012/09/15 14:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:16,已下載
T1216,三巴颱風,2012,2012/09/13 19:55,2012/09/14 19:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:18,已下載
T1214,天秤颱風,2012,2012/08/23 13:20,2012/08/24 13:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:20,已下載
T1213,啟德颱風,2012,2012/08/14 15:55,2012/08/15 15:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:22,已下載
T1211,海葵颱風,2012,2012/08/06 17:55,2012/08/07 17:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:24,已下載
T1209,蘇拉颱風,2012,2012/08/01 07:00,2012/08/02 07:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:27,已下載
R00124,2012_0725豪雨,2012,2012/07/25 07:05,2012/07/25 19:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:43:28,已下載
T1206,杜蘇芮颱風,2012,2012/06/28 08:50,2012/06/29 08:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:30,已下載
T1205,泰利颱風,2012,2012/06/20 02:35,2012/06/21 02:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:33,已下載
R00119,2012_610水災,2012,2012/06/11 13:40,2012/06/12 13:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:35,已下載
R00105,2011_1115豪雨,2011,2011/11/16 23:55,2011/11/17 23:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:40,已下載
T1111,南瑪都颱風,2011,2011/08/28 19:15,2011/08/29 19:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:43,已下載
T1109,梅花颱風,2011,2011/08/05 09:15,2011/08/06 09:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:45,已下載
R00096,2011_0718豪雨,2011,2011/07/18 22:40,2011/07/19 22:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:47,已下載
T1105,米雷颱風,2011,2011/06/24 11:30,2011/06/25 11:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:51,已下載
T1102,桑達颱風,2011,2011/05/27 07:25,2011/05/28 07:25,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:53,已下載
T1101,艾利颱風,2011,2011/05/09 09:20,2011/05/10 09:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:55,已下載
T1013,梅姬颱風,2010,2010/10/21 06:00,2010/10/22 06:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:58,已下載
R00081,2010_1017豪雨,2010,2010/10/18 05:20,2010/10/19 05:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:00,已下載
R00080,2010_1016豪雨,2010,2010/10/16 16:00,2010/10/17 16:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:13,已下載
T1011,凡那比,2010,2010/09/19 02:00,2010/09/20 02:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:15,已下載
T1010,莫蘭蒂颱風,2010,2010/09/09 10:00,2010/09/10 10:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:17,已下載
T1006,萊羅克颱風,2010,2010/08/31 23:40,2010/09/01 23:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:20,已下載
T1008,南修颱風,2010,2010/08/30 22:30,2010/08/31 10:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:44:22,已下載
R00065,2010_0726豪雨,2010,2010/07/26 16:30,2010/07/27 16:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:24,已下載
T0002,康森颱風,2010,2010/07/16 18:30,2010/07/17 18:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:28,已下載
T0920,盧碧颱風,2009,2009/10/21 14:35,2009/10/22 14:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:30,已下載
R00046,2009_1010豪雨,2009,2009/10/10 23:00,2009/10/11 23:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:33,已下載
T0917,芭瑪颱風,2009,2009/10/05 04:00,2009/10/06 04:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:35,已下載
T0908,莫拉克颱風,2009,2009/08/08 00:15,2009/08/09 00:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:37,已下載
T0906,莫拉菲颱風,2009,2009/07/17 08:45,2009/07/18 08:45,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:39,已下載
T0904,南卡,2009,2009/06/25 16:35,2009/06/26 16:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:41,已下載
T0903,蓮花颱風,2009,2009/06/20 12:00,2009/06/21 12:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:43,已下載
